"ID","prodzone","Production zone","Adrian","Albion","Allegan","Alma","Almont","Alpena","AnnArbor","Argentine","AuSable","BadAxe","BattleCreek","BayCity","Belding","BentonHarborStJoseph","BerrienSprings","BigRapids","Blissfield","BoyneCity","Brooklyn","Cadillac","Carleton","Caro","CarsonCity","CassCity","CedarSprings","Charlevoix","Charlotte","Cheboygan","Chelsea","Clare","Coldwater","Constantine","Coopersville","Detroit","Dowagiac","Dundee","Durand","EastTawas","EatonRapids","Escanaba","Flint","Fowlerville","Frankenmuth","Fremont","Gaylord","Gladwin","GrandRapids","Grayling","Greenville","Harrison","Hartford","Hastings","Hillsdale","Holland","Holly","Houghton","HoughtonLake","ImlayCity","Ionia","IronMountainKingsford","IronRiver","Ironwood","Ishpeming","Ithaca","Jackson","Kalamazoo","Kalkaska","Kinross","LakeOdessa","Lansing","Lapeer","Laurium","Lowell","Ludington","Manistee","Manistique","MarinetteMenominee","Marquette","Marshall","MichiganCity","Middleville","Midland","Milan","Monroe","MountPleasant","Muskegon","NewBuffalo","Newaygo","Newberry","Norway","Ortonville","Owosso","PawPaw","PawPawLake","Perry","Petoskey","PlainwellOtsego","PortHuron","Portland","ReedCity","Richland","Richmond","RogersCity","Saginaw","Sandusky","SaultSteMarie","Somerset","SouthBend","SouthHaven","SouthLyonHowellBrighton","StHelen","StIgnace","StJohns","Sturgis","ThreeRivers","Toledo","TraverseCity","Vassar","Wayland","Whitehall","Williamston","Food_produced","Contraint_production","Type (I)","Branches (I)","Coordinates (I)","X (I)","Y (I)","Longitude (I)","Latitude (I)","Length (I)","Area (I)","Bearing (I)","Selection Mask (I)","Selection (I)","Version (I)"
11649,6264,6264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.120987221961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.120987221961,136.120987221961,Area,1,4,16214.5871791741,8543.3576981383,-83.0951,42.7187,20000.0000000001,25000000.0000004,0,1,1,0
11650,6265,6265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1532.35133049494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1532.35133049494,1532.35133049494,Area,1,4,16214.5871791741,8710.02436480497,-83.0868,42.7630,20000.0000000001,25000000.0000004,0,1,1,0
11651,6266,6266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2866.27735116936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2866.27735116936,2866.27735116936,Area,1,4,16214.5871791741,8876.69103147164,-83.0784,42.8073,19999.9999999993,24999999.9999982,0,1,1,0
11652,6267,6267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2358.34726350308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2358.34726350308,2358.34726350308,Area,1,4,16214.5871791741,9043.3576981383,-83.0701,42.8517,20000.0000000001,25000000.0000004,0,1,1,0
11653,6268,6268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4387.80197851223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4387.80197851223,4387.80197851223,Area,1,4,16214.5871791741,9210.02436480497,-83.0618,42.8960,20000.0000000001,25000000.0000004,0,1,1,0
11654,6269,6269,0,0,0,0,4250.97932263098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4250.97932263098,4250.97932263098,Area,1,4,16214.5871791741,9376.69103147164,-83.0534,42.9403,19999.9999999993,24999999.9999982,0,1,1,0
11655,6270,6270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3412.75860095714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3412.75860095714,3412.75860095714,Area,1,4,16214.5871791741,9543.3576981383,-83.0450,42.9847,20000.0000000001,25000000.0000004,0,1,1,0
11656,6271,6271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4489.72804195038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4489.72804195038,4489.72804195038,Area,1,4,16214.5871791741,9710.02436480497,-83.0366,43.0290,20000.0000000001,25000000.0000004,0,1,1,0
11657,6272,6272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6096.66301285832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6096.66301285832,6096.66301285832,Area,1,4,16214.5871791741,9876.69103147164,-83.0282,43.0734,19999.9999999993,24999999.9999982,0,1,1,0
11658,6273,6273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3398.50499421313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3398.50499421313,3398.50499421313,Area,1,4,16214.5871791741,10043.3576981383,-83.0198,43.1177,20000.0000000001,25000000.0000004,0,1,1,0
